mean,CVE_LOC,CVE_MUN,CVE_ENT,CVEGEO,CVE_AGEB,system:index
0.10856486856937408,0001,002,06,0600200010623,0623,00000000000000000089
0.10850330061294626,0001,002,06,0600200011674,1674,0000000000000000008a
0.10881439596414566,0001,002,06,0600200011710,1710,0000000000000000008b
0.10818839073181152,0001,002,06,0600200010074,0074,0000000000000000008c
0.10818839073181152,0001,002,06,0600200011655,1655,0000000000000000008d
0.10818839073181152,0001,002,06,060020001006A,006A,0000000000000000008e
0.1103706955909729,0001,003,06,0600300010141,0141,0000000000000000008f
0.1103706955909729,0001,003,06,060030001018A,018A,00000000000000000090
0.1103706955909729,0001,003,06,0600300010175,0175,00000000000000000091
0.1103706955909729,0001,003,06,0600300010048,0048,00000000000000000092
0.1103706955909729,0001,003,06,0600300010090,0090,00000000000000000093
0.1103706955909729,0001,003,06,0600300010137,0137,00000000000000000094
0.1103706955909729,0001,003,06,0600300010156,0156,00000000000000000095
0.1103706955909729,0001,003,06,0600300010194,0194,00000000000000000097
0.1103706955909729,0001,003,06,0600300010118,0118,00000000000000000098
0.1103706955909729,0001,003,06,0600300010160,0160,0000000000000000009a
0.1103706955909729,0001,003,06,0600300010103,0103,0000000000000000009b
0.1103706955909729,0001,003,06,0600300010067,0067,0000000000000000009c
0.11035194959954248,0001,003,06,0600300010122,0122,0000000000000000009d
0.1103706955909729,0001,003,06,0600300010207,0207,0000000000000000009e
0.1103706955909729,0001,003,06,0600300010052,0052,0000000000000000009f
0.10903843296531415,0035,003,06,0600300350071,0071,00000000000000000096
0.10923224129553347,0035,003,06,0600300350086,0086,00000000000000000099
0.1098360507607169,0001,004,06,0600400010100,0100,000000000000000000a0
0.10972995311021805,0001,004,06,0600400010187,0187,000000000000000000a1
0.10998083743530634,0001,004,06,0600400010242,0242,000000000000000000a2
0.10972995311021805,0001,004,06,0600400010083,0083,000000000000000000a3
0.10972995311021805,0001,004,06,0600400010238,0238,000000000000000000a4
0.10972995311021805,0001,004,06,0600400010257,0257,000000000000000000a5
0.10975782914633897,0001,004,06,0600400010172,0172,000000000000000000a6
0.10972995311021805,0001,004,06,0600400010153,0153,000000000000000000a9
0.10972995311021805,0001,004,06,0600400010191,0191,000000000000000000ab
0.10932251811027527,0015,004,06,0600400150223,0223,000000000000000000a7
0.10932251811027527,0015,004,06,0600400150204,0204,000000000000000000a8
0.10932251811027527,0015,004,06,0600400150219,0219,000000000000000000aa
0.10895422483459831,0001,005,06,0600500010343,0343,000000000000000000ad
0.10944465343583727,0001,005,06,0600500010235,0235,000000000000000000ae
0.10952664166688919,0001,005,06,0600500010339,0339,000000000000000000b0
0.10952664166688919,0001,005,06,0600500010305,0305,000000000000000000b1
0.10952664166688919,0001,005,06,0600500010108,0108,000000000000000000b2
0.10952471400602691,0001,005,06,0600500010112,0112,000000000000000000b3
0.10952273815364306,0001,005,06,0600500010150,0150,000000000000000000b4
0.10952664166688919,0001,005,06,0600500010184,0184,000000000000000000b5
0.10952509265369628,0001,005,06,0600500010220,0220,000000000000000000b6
0.10952664166688919,0001,005,06,060050001024A,024A,000000000000000000b7
0.10952664166688919,0001,005,06,0600500010288,0288,000000000000000000b8
0.10952664166688919,0001,005,06,0600500010292,0292,000000000000000000b9
0.10940699075753443,0001,005,06,0600500010324,0324,000000000000000000c0
0.10948656709235911,0001,005,06,0600500010254,0254,000000000000000000c1
0.10952664166688919,0001,005,06,060050001031A,031A,000000000000000000c2
0.108991577655282,0018,005,06,0600500180038,0038,000000000000000000ba
0.1088000888261598,0018,005,06,0600500180131,0131,000000000000000000bb
0.10899836016689658,0018,005,06,060050018017A,017A,000000000000000000bc
0.10901201466976516,0018,005,06,0600500180216,0216,000000000000000000bd
0.10908001995551282,0018,005,06,0600500180080,0080,000000000000000000c3
0.10910402692443814,0018,005,06,0600500180095,0095,000000000000000000c4
0.10847556591033936,0023,005,06,0600500230273,0273,000000000000000000ac
0.10847556591033936,0023,005,06,0600500230269,0269,000000000000000000af
0.10847556591033936,0023,005,06,0600500230199,0199,000000000000000000be
0.10847556591033936,0023,005,06,0600500230201,0201,000000000000000000bf
0.10922200232744217,0001,006,06,0600600010069,0069,000000000000000000c5
0.10922200232744217,0001,006,06,0600600010073,0073,000000000000000000c6
0.10922200232744217,0001,006,06,0600600010092,0092,000000000000000000c7
,0001,006,06,0600600010105,0105,000000000000000000c8
0.10922200232744217,0001,006,06,060060001011A,011A,000000000000000000c9
0.10922200232744217,0001,006,06,0600600010124,0124,000000000000000000ca
0.10922200232744217,0001,006,06,0600600010088,0088,000000000000000000cb
0.11004287937772678,0001,007,06,0600700010564,0564,000000000000000000cc
0.10985094155433152,0001,007,06,0600700010530,0530,000000000000000000cd
0.10985295683307073,0001,007,06,0600700010545,0545,000000000000000000ce
0.11025422684344527,0001,007,06,0600700010668,0668,000000000000000000cf
0.11014937762456421,0001,007,06,0600700010687,0687,000000000000000000d0
0.11013204940744259,0001,007,06,0600700010691,0691,000000000000000000d1
0.11023756861686707,0001,007,06,0600700011011,1011,000000000000000000d2
0.10980363190174103,0001,007,06,0600700011331,1331,000000000000000000d3
0.11022485093254307,0001,007,06,0600700010456,0456,000000000000000000d4
0.1102375478852711,0001,007,06,0600700011717,1717,000000000000000000d5
