nra,nombre,estado,sector,sustancia,cas,contaminante,emision,year,latitud norte,longitud oeste,municipio,localidad
CMB110600711,"CONSORCIO MINERO BENITO JUAREZ PEÑA COLORADA SA DE CV,PEÑA COLORADA",COLIMA,Metalurgica (incluye la siderurgica),Bióxido de nitrógeno,10102-44-0,agua,0.0,2018,"19°4'57""","104°16'55""",Manzanillo,MANZANILLO
CMB110600711,"CONSORCIO MINERO BENITO JUAREZ PEÑA COLORADA SA DE CV,PEÑA COLORADA",COLIMA,Metalurgica (incluye la siderurgica),"Cromo (polvos respirables, humos o vapores)",7440-47-3,agua,0.0,2018,"19°4'57""","104°16'55""",Manzanillo,MANZANILLO
CMB110600711,"CONSORCIO MINERO BENITO JUAREZ PEÑA COLORADA SA DE CV,PEÑA COLORADA",COLIMA,Metalurgica (incluye la siderurgica),Formaldehido,50-00-0,agua,0.0,2018,"19°4'57""","104°16'55""",Manzanillo,MANZANILLO
CMB110600711,"CONSORCIO MINERO BENITO JUAREZ PEÑA COLORADA SA DE CV,PEÑA COLORADA",COLIMA,Metalurgica (incluye la siderurgica),Níquel (compuestos),Ni,agua,0.0060907,2018,"19°4'57""","104°16'55""",Manzanillo,MANZANILLO
CMB110600711,"CONSORCIO MINERO BENITO JUAREZ PEÑA COLORADA SA DE CV,PEÑA COLORADA",COLIMA,Metalurgica (incluye la siderurgica),"Plomo (polvos respirables, humos o vapores)",7439-92-1,agua,0.0,2018,"19°4'57""","104°16'55""",Manzanillo,MANZANILLO
CMA0600700006,"CONTECON MANZANILLO S.A. DE C.V.,CONTECON MANZANILLO, S.A. DE C.V.",COLIMA,Otros,Bióxido de carbono,124-38-9,agua,0.0,2018,"19°4'58""","104°18'14""",Manzanillo,MANZANILLO
DMEBF0600911,"DANISCO MEXICANA, S.A. DE C.V.,DANISCO",COLIMA,Quimica,Arsénico (compuestos),As,agua,0.0,2018,"18°58'2""","103°53'9""",Tecoman,TECOMAN
DMEBF0600911,"DANISCO MEXICANA, S.A. DE C.V.,DANISCO",COLIMA,Quimica,Cadmio (compuestos),Cd,agua,0.0,2018,"18°58'2""","103°53'9""",Tecoman,TECOMAN
DMEBF0600911,"DANISCO MEXICANA, S.A. DE C.V.,DANISCO",COLIMA,Quimica,Cianuro inorgánico/orgánico,57-12-5,agua,0.0,2018,"18°58'2""","103°53'9""",Tecoman,TECOMAN
DMEBF0600911,"DANISCO MEXICANA, S.A. DE C.V.,DANISCO",COLIMA,Quimica,Cromo (compuestos),Cr,agua,0.0,2018,"18°58'2""","103°53'9""",Tecoman,TECOMAN
DMEBF0600911,"DANISCO MEXICANA, S.A. DE C.V.,DANISCO",COLIMA,Quimica,Mercurio (compuestos),Hg,agua,0.0,2018,"18°58'2""","103°53'9""",Tecoman,TECOMAN
DMEBF0600911,"DANISCO MEXICANA, S.A. DE C.V.,DANISCO",COLIMA,Quimica,Níquel (compuestos),Ni,agua,0.0,2018,"18°58'2""","103°53'9""",Tecoman,TECOMAN
DMEBF0600911,"DANISCO MEXICANA, S.A. DE C.V.,DANISCO",COLIMA,Quimica,Plomo (compuestos),Pb,agua,0.0,2018,"18°58'2""","103°53'9""",Tecoman,TECOMAN
ECOUB0600211,"ECOSISTEMA DE COLIMA S.A. DE C.V.,PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES DE COLIMA Y VILLA DE ALVAREZ",COLIMA,Otros,Arsénico (compuestos),As,agua,0.0382258,2018,"19°12'5""","103°45'59""",Colima,COLIMA
ECOUB0600211,"ECOSISTEMA DE COLIMA S.A. DE C.V.,PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES DE COLIMA Y VILLA DE ALVAREZ",COLIMA,Otros,Cadmio (compuestos),Cd,agua,0.47782220000000003,2018,"19°12'5""","103°45'59""",Colima,COLIMA
ECOUB0600211,"ECOSISTEMA DE COLIMA S.A. DE C.V.,PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES DE COLIMA Y VILLA DE ALVAREZ",COLIMA,Otros,Cianuro inorgánico/orgánico,57-12-5,agua,0.47782220000000003,2018,"19°12'5""","103°45'59""",Colima,COLIMA
ECOUB0600211,"ECOSISTEMA DE COLIMA S.A. DE C.V.,PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES DE COLIMA Y VILLA DE ALVAREZ",COLIMA,Otros,Cromo (compuestos),Cr,agua,2.3891109000000004,2018,"19°12'5""","103°45'59""",Colima,COLIMA
ECOUB0600211,"ECOSISTEMA DE COLIMA S.A. DE C.V.,PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES DE COLIMA Y VILLA DE ALVAREZ",COLIMA,Otros,Mercurio (compuestos),Hg,agua,0.0119456,2018,"19°12'5""","103°45'59""",Colima,COLIMA
ECOUB0600211,"ECOSISTEMA DE COLIMA S.A. DE C.V.,PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES DE COLIMA Y VILLA DE ALVAREZ",COLIMA,Otros,Metano,74-82-8,agua,0.0,2018,"19°12'5""","103°45'59""",Colima,COLIMA
ECOUB0600211,"ECOSISTEMA DE COLIMA S.A. DE C.V.,PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES DE COLIMA Y VILLA DE ALVAREZ",COLIMA,Otros,Níquel (compuestos),Ni,agua,2.3891109000000004,2018,"19°12'5""","103°45'59""",Colima,COLIMA
ECOUB0600211,"ECOSISTEMA DE COLIMA S.A. DE C.V.,PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES DE COLIMA Y VILLA DE ALVAREZ",COLIMA,Otros,Plomo (compuestos),Pb,agua,2.3891109000000004,2018,"19°12'5""","103°45'59""",Colima,COLIMA
ECOBT0600211,"EMBOTELLADORA DE COLIMA SA DE CV,COCA COLA DE COLIMA",COLIMA,Bebidas y tabaco,Arsénico (compuestos),As,agua,0.0013927,2018,"19°13'50""","103°42'39""",Colima,COLIMA
ECOBT0600211,"EMBOTELLADORA DE COLIMA SA DE CV,COCA COLA DE COLIMA",COLIMA,Bebidas y tabaco,Bióxido de carbono,124-38-9,agua,0.0,2018,"19°13'50""","103°42'39""",Colima,COLIMA
ECOBT0600211,"EMBOTELLADORA DE COLIMA SA DE CV,COCA COLA DE COLIMA",COLIMA,Bebidas y tabaco,Cadmio (compuestos),Cd,agua,0.0015669,2018,"19°13'50""","103°42'39""",Colima,COLIMA
ECOBT0600211,"EMBOTELLADORA DE COLIMA SA DE CV,COCA COLA DE COLIMA",COLIMA,Bebidas y tabaco,Cromo (compuestos),Cr,agua,0.0013927,2018,"19°13'50""","103°42'39""",Colima,COLIMA
ECOBT0600211,"EMBOTELLADORA DE COLIMA SA DE CV,COCA COLA DE COLIMA",COLIMA,Bebidas y tabaco,Níquel (compuestos),Ni,agua,0.0013927,2018,"19°13'50""","103°42'39""",Colima,COLIMA
ECOBT0600211,"EMBOTELLADORA DE COLIMA SA DE CV,COCA COLA DE COLIMA",COLIMA,Bebidas y tabaco,Plomo (compuestos),Pb,agua,0.0013927,2018,"19°13'50""","103°42'39""",Colima,COLIMA
EOMMI0600711,"ENERGIA OCCIDENTE DE MEXICO SOCIEDAD DE RESPONSABILIDAD LIMITADA DE CAPITAL VARIABLE,EOM",COLIMA,Petroleo y petroquimica,Bióxido de carbono,124-38-9,agua,0.0,2018,"19°1'19""","104°19'1""",Manzanillo,MANZANILLO
ECOLY0600911,"GEOCYCLE MÉXICO  S.A. DE C.V. ,GEOCYCLE MEXICO  S.A. DE C.V. (PLANTA TECOMAN)",COLIMA,Tratamiento de residuos peligrosos,Bióxido de carbono,124-38-9,agua,0.0,2018,"18°59'1""","103°52'25""",Tecoman,TECOMAN
HHRAY0600711,"HOTEL LAS HADAS RESORTS S.A. DE C.V.,LAS HADAS",COLIMA,Otros,Arsénico (compuestos),As,agua,0.0010182,2018,"19°6'4""","104°20'54""",Manzanillo,MANZANILLO
HHRAY0600711,"HOTEL LAS HADAS RESORTS S.A. DE C.V.,LAS HADAS",COLIMA,Otros,Cadmio (compuestos),Cd,agua,0.0101823,2018,"19°6'4""","104°20'54""",Manzanillo,MANZANILLO
HHRAY0600711,"HOTEL LAS HADAS RESORTS S.A. DE C.V.,LAS HADAS",COLIMA,Otros,Cromo (compuestos),Cr,agua,0.0482322,2018,"19°6'4""","104°20'54""",Manzanillo,MANZANILLO
HHRAY0600711,"HOTEL LAS HADAS RESORTS S.A. DE C.V.,LAS HADAS",COLIMA,Otros,Mercurio (compuestos),Hg,agua,0.0010182,2018,"19°6'4""","104°20'54""",Manzanillo,MANZANILLO
HHRAY0600711,"HOTEL LAS HADAS RESORTS S.A. DE C.V.,LAS HADAS",COLIMA,Otros,Níquel (compuestos),Ni,agua,0.0482322,2018,"19°6'4""","104°20'54""",Manzanillo,MANZANILLO
HHRAY0600711,"HOTEL LAS HADAS RESORTS S.A. DE C.V.,LAS HADAS",COLIMA,Otros,Plomo (compuestos),Pb,agua,0.0482322,2018,"19°6'4""","104°20'54""",Manzanillo,MANZANILLO
IQU2G0600511,"INGENIO QUESERÍA SA DE CV,",COLIMA,Alimenticio y/o de consumo humano,Arsénico (compuestos),As,agua,0.0,2018,"19°23'7""","103°34'27""",Cuauhtemoc,QUESERIA
IQU2G0600511,"INGENIO QUESERÍA SA DE CV,",COLIMA,Alimenticio y/o de consumo humano,Cromo (compuestos),Cr,agua,0.0,2018,"19°23'7""","103°34'27""",Cuauhtemoc,QUESERIA
IQU2G0600511,"INGENIO QUESERÍA SA DE CV,",COLIMA,Alimenticio y/o de consumo humano,Níquel (compuestos),Ni,agua,0.0,2018,"19°23'7""","103°34'27""",Cuauhtemoc,QUESERIA
IQU2G0600511,"INGENIO QUESERÍA SA DE CV,",COLIMA,Alimenticio y/o de consumo humano,Plomo (compuestos),Pb,agua,0.0,2018,"19°23'7""","103°34'27""",Cuauhtemoc,QUESERIA
ENC110600511,"LAS ENCINAS S.A. DE C.V.,, PLANTA PELETIZADORA",COLIMA,Metalurgica (incluye la siderurgica),Arsénico,7440-38-2,agua,0.0,2018,"19°15'14""","103°31'46""",Cuauhtemoc,CUAUHTEMOC
ENC110600511,"LAS ENCINAS S.A. DE C.V.,, PLANTA PELETIZADORA",COLIMA,Metalurgica (incluye la siderurgica),Bióxido de carbono,124-38-9,agua,0.0,2018,"19°15'14""","103°31'46""",Cuauhtemoc,CUAUHTEMOC
ENC110600511,"LAS ENCINAS S.A. DE C.V.,, PLANTA PELETIZADORA",COLIMA,Metalurgica (incluye la siderurgica),"Cromo (polvos respirables, humos o vapores)",7440-47-3,agua,0.0,2018,"19°15'14""","103°31'46""",Cuauhtemoc,CUAUHTEMOC
ENC110600511,"LAS ENCINAS S.A. DE C.V.,, PLANTA PELETIZADORA",COLIMA,Metalurgica (incluye la siderurgica),Mercurio (compuestos),Hg,agua,0.0,2018,"19°15'14""","103°31'46""",Cuauhtemoc,CUAUHTEMOC
ENC110600511,"LAS ENCINAS S.A. DE C.V.,, PLANTA PELETIZADORA",COLIMA,Metalurgica (incluye la siderurgica),Plomo (compuestos),Pb,agua,0.0,2018,"19°15'14""","103°31'46""",Cuauhtemoc,CUAUHTEMOC
ENC110600511,"LAS ENCINAS S.A. DE C.V.,, PLANTA PELETIZADORA",COLIMA,Metalurgica (incluye la siderurgica),"Plomo (polvos respirables, humos o vapores)",7439-92-1,agua,0.0,2018,"19°15'14""","103°31'46""",Cuauhtemoc,CUAUHTEMOC
MAR1Z0600711,"MARINDUSTRIAS S. A. DE C. V.,TUNY",COLIMA,Alimenticio y/o de consumo humano,Bióxido de carbono,124-38-9,agua,0.0,2018,"19°4'52""","104°17'27""",Manzanillo,MANZANILLO
OCPTE0600711,"OPERADORA DE LA CUENCA DEL PACÍFICO S.A. DE C.V.,OCUPA",COLIMA,Otros,Bióxido de carbono,124-38-9,agua,0.0,2018,"19°3'34""","104°18'2""",Manzanillo,MANZANILLO
PTA640600911,"PRODUCTOS TANIART, S.A. DE C.V.,PRODUCTOS TANIART, S.A DE C.V.",COLIMA,Quimica,Bióxido de carbono,124-38-9,agua,0.0,2018,"18°54'30""","103°53'22""",Tecoman,TECOMAN
SCA0600900053,"SILVA CAMACHO, S.DE P.R. DE R.L.,",COLIMA,Otros,Cromo (compuestos),Cr,agua,0.0018177000000000002,2018,"18°53'29""","103°55'12""",Tecoman,TECOMAN
